"pole_start","grid_mean","positionOrder_mean","positions_gained_mean","points_mean","grid_median","positionOrder_median","positions_gained_median","points_median","grid_sd","positionOrder_sd","positions_gained_sd","points_sd","grid_min","positionOrder_min","positions_gained_min","points_min","grid_max","positionOrder_max","positions_gained_max","points_max"
"Not Pole Starter",12.375234521576,12.1520533666875,0.223181154888472,1.80793871169505,12,12,1,0,6.55823609630352,6.68978235937695,7.13139192610949,3.93982800917853,2,1,-31,0,34,34,30,50
"Pole Starter",1,5.6637323943662,-4.6637323943662,8.60179577464785,1,2,-1,8,0,6.71834530804306,6.71834530804306,8.24730408156277,1,1,-30,0,1,31,0,26
